,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
56,-0.5280291739999999,0.641490404,-0.911213542,1.002477782,-0.09273234400000001,2.171053359,0.5218916060000001,-0.325870478,-0.754918698,1.848257122,-1.317537899,1.2626088,0.545025474,0.405246534,-0.97932037,-0.053948125,0.44040838600000004,-0.606098008,-0.6689791629999999,5
57,-0.557587126,0.555145459,-0.8455478959999999,0.806456097,0.061386464,1.9801595859999999,0.658117249,-0.224577587,-1.1680431690000002,1.472812251,-1.587683784,1.216784826,1.099168926,0.990070702,-1.1223914609999999,0.188601377,0.545207983,-0.58480272,0.294187847,5
58,-0.607678768,0.28137335,-0.6446568570000001,0.41913219,-0.10685754300000001,1.6868949780000002,-0.077374149,-0.042323407,-0.374691734,1.6643523919999998,-0.43773981700000003,0.713430618,0.737604403,0.367759499,-1.215763996,-0.36544562700000005,0.251938799,-0.280909958,-0.112809688,5
59,-0.551672078,0.47086195700000005,-0.957471637,1.149250345,-0.036673221,2.465288416,0.115695538,-0.253904428,-0.575676018,2.318512656,-1.22441772,1.243172804,1.023953588,1.0352841879999999,-1.7827379319999999,-0.081612032,0.46720304700000004,-0.23662487399999999,0.051947354,5
61,-0.158965421,-0.9916091920000001,-0.179008891,0.18210230600000002,-0.31415056,0.586636087,-1.306608513,0.12436269900000001,0.376360945,0.178823097,0.36777738,0.223964652,0.012330563999999999,0.43132013799999996,-0.81395311,0.13957952,0.62992656,-0.708590088,0.6895006659999999,6
62,-0.16575785099999998,-0.95418056,-0.24781782800000002,0.034741588,-0.26651776899999996,0.379304009,-1.174669266,0.268121461,0.262539213,0.032179562,0.32445382100000003,0.307819783,0.225337646,0.20334351899999997,-0.82581071,0.13145112,0.6102957760000001,-0.63328003,0.249861499,6
63,-0.206244077,-0.859589103,-0.13116784199999998,-0.053594498,-0.18804885899999998,0.398460771,-0.829949569,0.163301746,-0.096764726,-0.46284787899999996,-0.23460301600000003,0.620527085,-0.305426639,0.093582918,0.14211463900000001,0.268898782,0.439165521,-0.567391741,0.023893703999999998,6
64,-0.21494515600000003,-0.928703871,-0.070398041,0.011762123000000001,-0.244360441,-0.056787065,-0.414106934,0.08811433,-0.089702047,-0.384650227,-0.10112677199999999,0.593165634,-0.357041286,-0.065231981,-0.296985485,0.257938816,0.25033962600000004,-0.817660409,-0.464411951,6
65,-0.278583746,-0.7658898000000001,0.035278442,-0.38528285700000003,0.038089326,0.203726409,-0.74687718,0.10822158300000001,0.600736733,0.30376128,0.568104983,0.6335188979999999,-0.48294955799999995,-0.410953619,0.311682603,0.059480619000000005,0.172668911,-0.993972572,0.390686951,6
67,-0.099228102,-1.026797924,-0.06870586599999999,-0.148343285,0.164265599,0.48248427200000005,-1.0500434570000001,0.056830633,-0.006015225,-0.039379071,-0.23229693199999998,0.350209461,-0.428636964,-0.02985741,-0.137809361,0.087489126,0.682613908,-0.6677399629999999,0.46786369899999997,6
68,-0.106888006,-0.9277638429999999,0.00885681,0.069691429,-0.137061845,-0.060223933,-0.44730821299999995,-0.04816658099999999,0.02920703,-0.316950415,-0.356268779,0.910373723,-0.235121735,-0.18453772100000002,0.379024863,0.337280927,0.143504233,-1.170058904,1.024635014,6
69,-0.226741529,-0.841191343,0.029536672000000003,-0.274462599,-0.09812735300000001,-0.214187102,-0.309299772,-0.045444022,0.043102247,-0.188513901,0.12496889300000001,0.439177214,-0.872720795,-0.071232579,0.022516341000000002,-0.131942463,0.177753692,-0.19057294,0.422345904,6
70,-0.26733687300000003,-0.763980267,-0.095667135,-0.25067418199999997,-0.247615878,-0.09130257300000001,-0.406231503,0.045286087,-0.047571274000000004,-0.344949141,0.004394719,0.524226018,-0.384677874,0.367532384,-0.06329511,0.285829127,0.375467382,-0.488293353,-0.170955943,6
71,-0.32741559800000003,-0.585738459,0.46587067600000004,-0.040227702000000004,-0.411665771,-0.320510072,-0.193055048,-0.039125356,0.07648364099999999,-0.339144961,0.11869730099999999,0.520948289,-0.643867938,0.07834609,0.215116997,0.247423316,-0.016369979,-0.6958881179999999,-0.612274722,6
72,0.19010275699999998,-0.75583035,-0.147312663,0.268366788,-0.028344866,0.403576328,-0.8366778970000001,0.791246045,-0.212417679,-0.44257065100000004,0.054753811,0.082072477,-0.284277199,-0.473141944,-1.100689414,-0.305368285,0.039725712999999996,-1.6309868630000002,0.04545733,7
73,-0.06233691400000001,-0.502203187,-0.11860605699999999,-0.529161062,0.46746614299999995,0.716888167,-1.121178959,0.8414223259999999,-0.276466575,-0.296407804,0.15629000699999998,0.080009102,0.766545797,0.519805173,-1.01960209,0.235320823,0.689419813,-1.5998251209999999,-0.063836154,7
74,-0.046181433,-0.542489199,-0.060384849000000004,-0.428427044,0.36465833200000003,0.43459315,-1.262040901,0.813263205,0.084630094,-0.000328974,0.759821408,-0.209726341,0.627490698,0.62817122,-1.465174336,-0.251360874,-0.07271121,-1.7143835230000002,0.17780854899999998,7
